category,resource,absolute_file,line,target_function,arg_index,operation,cvisualizer_expressions,cvisualizer_values,cvisualizer_syntax_values,cvisualizer_statuses,legacy_raw_expressions,legacy_values,legacy_statuses,legacy_llm_backwalk,legacy_provenance
both_unresolved,forkproc,/home/chukyu/t-dif/src/dif400d/dif400Deque.c,95,pmf_forkprocdup_H,1,FORKPROC,(char *)dupname,,,"{""EXTERNAL"": 1}",(char *)dupname,,"{""UNRESOLVED"": 1}",True,t-dif/src/dif400d/dif400Deque.c:4303 pmf_forkprocdup_H arg 1
both_unresolved,forkproc,/home/chukyu/t-dif/src/libdif/difSVRep.c,198,pmf_forkprocbs_H,1,FORKPROC,cpuname,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dif/src/libdifP/difOpRep.c,93,pmf_forkproc_H,1,FORKPROC,P_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dif/tool/diftest/diftest101.c,57,pmf_forkproc_H,1,FORKPROC,proc,,,"{""EXTERNAL"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dif/tool/diftest/diftest900.c,45,pmf_forkproc_H,1,FORKPROC,proc,,,"{""EXTERNAL"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dxi/src/dxi400d/dxi400d_main.c,278,pmf_forkprocbs_H,1,FORKPROC,cpname,,,"{""EXTERNAL"": 1}",cpname,,"{""UNRESOLVED"": 1}",True,t-dxi/src/dxi400d/dxi400d_main.c:10723 pmf_forkprocbs_H arg 1
both_unresolved,forkproc,/home/chukyu/t-dxi/src/dxi400d/dxi400d_main.c,296,pmf_forkprocbs_H,1,FORKPROC,cpname,,,"{""EXTERNAL"": 1}",cpname,,"{""UNRESOLVED"": 1}",True,t-dxi/src/dxi400d/dxi400d_main.c:11646 pmf_forkprocbs_H arg 1
both_unresolved,forkproc,/home/chukyu/t-dxi/src/libdxiinside/dxi_dblcirreq.c,100,pmf_forkproc_H,1,FORKPROC,prcname,,,"{""EXTERNAL"": 1, ""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/dyn591/dyn591CsvLoad.c,432,pmf_forkproc_H,1,FORKPROC,cProcName,,,"{""EXTERNAL"": 1}",cProcName,,"{""UNRESOLVED"": 1}",True,t-dyn/src/dyn591/dyn591CsvLoad.c:14847 pmf_forkproc_H arg 1
both_unresolved,forkproc,/home/chukyu/t-dyn/src/dyn600/dyn600MainProc.c,1262,pmf_forkprocbs_H,1,FORKPROC,rcpuname,,,"{""EXTERNAL"": 1}",rcpuname,,"{""UNRESOLVED"": 1}",True,t-dyn/src/dyn600/dyn600MainProc.c:48969 pmf_forkprocbs_H arg 1
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,151,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,212,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,285,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,343,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,398,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,443,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,491,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,528,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,565,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,602,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,666,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,706,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,756,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,793,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,836,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,873,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,930,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,967,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,1000,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,1034,pmf_forkproc_H,1,FORKPROC,PROC_NAME,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,1530,pmf_forkproc_H,1,FORKPROC,PROC_NAME_RELAY,,,"{""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynDspCom/LibDynDspCom.c,1557,pmf_forkproc_H,1,FORKPROC,PROC_NAME_RELAY,,,"{""UNREACHABLE"": 1}",,,{},False,
cvisualizer_resolved_only,forkproc,/home/chukyu/t-dyn/src/libDynRe/DynReEneLib.c,78,pmf_forkproc_H,1,FORKPROC,PROC_NAME,dyn600,dyn600,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,
cvisualizer_resolved_only,forkproc,/home/chukyu/t-dyn/src/libDynRe/DynReEneLib.c,174,pmf_forkproc_H,1,FORKPROC,PROC_NAME,dyn600,dyn600,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,
cvisualizer_resolved_only,forkproc,/home/chukyu/t-dyn/src/libDynRe/DynReEneLib.c,222,pmf_forkproc_H,1,FORKPROC,PROC_NAME,dyn600,dyn600,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,
cvisualizer_resolved_only,forkproc,/home/chukyu/t-dyn/src/libDynRe/DynReEneLib.c,282,pmf_forkproc_H,1,FORKPROC,PROC_NAME,dyn600,dyn600,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,
cvisualizer_resolved_only,forkproc,/home/chukyu/t-dyn/src/libDynRe/DynReEneLib.c,342,pmf_forkproc_H,1,FORKPROC,PROC_NAME,dyn600,dyn600,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,
cvisualizer_resolved_only,forkproc,/home/chukyu/t-dyn/src/libDynRe/DynReEneLib.c,401,pmf_forkproc_H,1,FORKPROC,PROC_NAME,dyn600,dyn600,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,
cvisualizer_resolved_only,forkproc,/home/chukyu/t-dyn/src/libDynRe/DynReEneLib.c,463,pmf_forkproc_H,1,FORKPROC,PROC_NAME,dyn600,dyn600,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,
cvisualizer_resolved_only,forkproc,/home/chukyu/t-dyn/src/libDynRe/DynReEneLib.c,513,pmf_forkproc_H,1,FORKPROC,PROC_NAME,dyn600,dyn600,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,
cvisualizer_resolved_only,forkproc,/home/chukyu/t-dyn/src/libDynRe/DynReEneLib.c,564,pmf_forkproc_H,1,FORKPROC,PROC_NAME,dyn600,dyn600,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,
cvisualizer_resolved_only,forkproc,/home/chukyu/t-dyn/src/libDynRe/DynReEneLib.c,611,pmf_forkproc_H,1,FORKPROC,PROC_NAME,dyn600,dyn600,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,
cvisualizer_resolved_only,forkproc,/home/chukyu/t-dyn/src/libDynRe/DynReEneLib.c,656,pmf_forkproc_H,1,FORKPROC,PROC_NAME,dyn600,dyn600,"{""EXACT"": 1, ""UNREACHABLE"": 1}",,,{},False,
both_unresolved,forkproc,/home/chukyu/t-dyn/src/libDynRe/DynReMsgSub.c,118,pmf_forkprocbs_H,1,FORKPROC,rcpuname,,,"{""EXTERNAL"": 1, ""UNREACHABLE"": 1}",,,{},False,
