category,resource,absolute_file,line,target_function,arg_index,operation,cvisualizer_expressions,cvisualizer_values,cvisualizer_syntax_values,cvisualizer_statuses,legacy_raw_expressions,legacy_values,legacy_statuses,legacy_llm_backwalk,legacy_provenance,row_id
both_unresolved,forkproc,/home/chukyu/t-dyn/src/dyn591/dyn591CsvLoad.c,432,pmf_forkproc_H,1,FORKPROC,cProcName,,,"{""EXTERNAL"": 1}",cProcName,,"{""UNRESOLVED"": 1}",True,t-dyn/src/dyn591/dyn591CsvLoad.c:14847 pmf_forkproc_H arg 1,8
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn010/dyn010Main.c,161,mpf_mfs_open_H,2,READ,DynReCtlInfFNO,3918,3918,"{""EXACT"": 1}",DynReCtlInfFNO,,"{""OK_CONST"": 1}",True,t-dyn/src/dyn010/dyn010Main.c:5669 mpf_mfs_open_H arg 2,650
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn010/dyn010Main.c,167,mpf_mfs_readrecn,1,READREC,&fcb,3918,3918,"{""EXACT"": 1}",&fcb,,"{""OK_CONST"": 1}",True,t-dyn/src/dyn010/dyn010Main.c:5669 mpf_mfs_open_H arg 2 > t-dyn/src/dyn010/dyn010Main.c:5875 mpf_mfs_readrecn handle 1,651
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn010/dyn010Main.c,171,mpf_mfs_open_H,2,READ,DynReGnInfFNO,3970,3970,"{""EXACT"": 1}",DynReGnInfFNO,,"{""OK_CONST"": 1}",True,t-dyn/src/dyn010/dyn010Main.c:6032 mpf_mfs_open_H arg 2,652
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn010/dyn010Main.c,177,mpf_mfs_readrecn,1,READREC,&fcb,3970,3970,"{""EXACT"": 1}",&fcb,,"{""OK_CONST"": 1}",True,t-dyn/src/dyn010/dyn010Main.c:6032 mpf_mfs_open_H arg 2 > t-dyn/src/dyn010/dyn010Main.c:6237 mpf_mfs_readrecn handle 1,653
disjoint,mfs_file,/home/chukyu/t-dyn/src/dyn010/dyn010Main.c,191,mpf_mfs_writerecm,1,WRITEREC,&fcb,3973,3973,"{""EXACT"": 1}",&fcb; DynReCtlMainteFNO,1077,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn010/dyn010Main.c:6416 mpf_mfs_open_H arg 2 > t-dyn/src/dyn010/dyn010Main.c:6772 mpf_mfs_writerecm handle 1,654
disjoint,mfs_file,/home/chukyu/t-dyn/src/dyn010/dyn010Main.c,195,mpf_mfs_writerecn,1,WRITEREC,&fcb,3973,3973,"{""EXACT"": 1}",&fcb; DynReCtlMainteFNO,1077,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn010/dyn010Main.c:6416 mpf_mfs_open_H arg 2 > t-dyn/src/dyn010/dyn010Main.c:6937 mpf_mfs_writerecn handle 1,655
disjoint,mfs_file,/home/chukyu/t-dyn/src/dyn010/dyn010Main.c,200,mpf_mfs_readrecm,1,READREC,&fcb,3973,3973,"{""EXACT"": 1}",&fcb; DynReCtlMainteFNO,1077,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn010/dyn010Main.c:6416 mpf_mfs_open_H arg 2 > t-dyn/src/dyn010/dyn010Main.c:7109 mpf_mfs_readrecm handle 1,656
disjoint,mfs_file,/home/chukyu/t-dyn/src/dyn010/dyn010Main.c,202,mpf_mfs_writerecm,1,WRITEREC,&fcb,3973,3973,"{""EXACT"": 1}",&fcb; DynReCtlMainteFNO,1077,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn010/dyn010Main.c:6416 mpf_mfs_open_H arg 2 > t-dyn/src/dyn010/dyn010Main.c:7265 mpf_mfs_writerecm handle 1,657
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn011/dyn011InitSts.c,107,mpf_mfs_open_H,2,READ,DynReSndStaDFSFNO,3949,3949,"{""EXACT"": 1}",DynReSndStaDFSFNO,,"{""OK_CONST"": 1}",True,t-dyn/src/dyn011/dyn011InitSts.c:4210 mpf_mfs_open_H arg 2,658
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn011/dyn011InitSts.c,118,mpf_mfs_readrecn,1,READREC,&fcb,3949,3949,"{""EXACT"": 1}",&fcb,,"{""OK_CONST"": 1}",True,t-dyn/src/dyn011/dyn011InitSts.c:4210 mpf_mfs_open_H arg 2 > t-dyn/src/dyn011/dyn011InitSts.c:4550 mpf_mfs_readrecn handle 1,659
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn011/dyn011InitSts.c,123,mpf_mfs_open_H,2,READ,DynReHESStaUpdDFNO,3972,3972,"{""EXACT"": 1}",DynReHESStaUpdDFNO,,"{""OK_CONST"": 1}",True,t-dyn/src/dyn011/dyn011InitSts.c:4763 mpf_mfs_open_H arg 2,660
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn011/dyn011InitSts.c,132,mpf_mfs_readrecn,1,READREC,&fcb,3972,3972,"{""EXACT"": 1}",&fcb,,"{""OK_CONST"": 1}",True,t-dyn/src/dyn011/dyn011InitSts.c:4763 mpf_mfs_open_H arg 2 > t-dyn/src/dyn011/dyn011InitSts.c:5052 mpf_mfs_readrecn handle 1,661
equal,mfs_file,/home/chukyu/t-dyn/src/dyn011/dyn011InitSts.c,175,mpf_mfs_writerecn,1,WRITEREC,&fcb,1075,1075,"{""EXACT"": 1}",&fcb; DynReMyPageStaFNO,1075,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn011/dyn011InitSts.c:6680 mpf_mfs_open_H arg 2 > t-dyn/src/dyn011/dyn011InitSts.c:6910 mpf_mfs_writerecn handle 1,662
